행정동_코드,행정동_한글,자치구명,year,month,위험노출시간,pm25_평균,pm10_평균,온도_평균,습도_평균,열지수_평균,소음_평균,high_temp_risk_비율,low_temp_risk_비율,humidity_risk_비율,noise_risk_비율,병원수,공원면적,금연구역수,환자수_인구보정,위험노출시간_norm,환자수_norm,병원수_norm,공원면적_norm,금연구역수_norm,건강안전도_점수,건강안전도_등급,계절
1123060000,답십리1동,동대문구,2025,2,0.36,21.01492537313433,36.95037593984962,0.7958047292143402,49.04347826086956,0.7958047292143402,47.02745995423341,0.0,0.7894736842105263,0.1189931350114416,0.0007627765064836,4.0,458663.7,113.0,73805.13077675698,0.3636363636363636,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,58,4,겨울
1123060000,답십리1동,동대문구,2025,3,0.58,30.693351424694708,55.18563685636856,9.760337552742616,51.18980791111834,9.760337552742616,45.97679324894515,0.0,0.20042194092827,0.1322081575246132,0.0021097046413502,4.0,458663.7,113.0,73805.13077675698,0.5858585858585859,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,42,5,봄
1123060000,답십리1동,동대문구,2025,4,0.2,21.171107994389903,43.96072931276297,15.37685262281432,54.12818542167054,15.372201828476948,46.04995836802664,0.0,0.0133222314737718,0.1540383014154871,0.0074937552039966,4.0,458663.7,113.0,73805.13077675698,0.202020202020202,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,70,2,봄
1123060000,답십리1동,동대문구,2025,5,0.2,19.22086720867209,38.00813008130081,19.500768049155145,60.180039152547785,19.540300961564792,49.39938556067588,0.0015360983102918,0.0,0.1336405529953917,0.0230414746543778,4.0,458663.7,113.0,73805.13077675698,0.202020202020202,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,70,2,봄
1123060000,답십리1동,동대문구,2025,6,0.2,18.87798036465638,34.32678821879383,25.78626653102747,63.276344441475416,26.464377294713373,46.92268565615463,0.0539165818921668,0.0,0.0996948118006103,0.0091556459816887,4.0,458663.7,113.0,73805.13077675698,0.202020202020202,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,70,2,여름
1123060000,답십리1동,동대문구,2025,7,0.18,14.936974789915968,24.88920056100982,30.421490880253767,63.92404378198266,34.87883154612295,47.43774781919112,0.5202220459952419,0.0,0.0523394131641554,0.0087232355273592,4.0,458663.7,113.0,73805.13077675698,0.1818181818181818,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,71,2,여름
1123060000,답십리1동,동대문구,2025,8,0.18,13.74581005586592,23.02387640449438,29.66248120300752,68.25325369924218,33.68243574921707,48.85864661654136,0.4135338345864661,0.0,0.0819548872180451,0.0338345864661654,4.0,458663.7,113.0,73805.13077675698,0.1818181818181818,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,71,2,여름
1123060000,답십리1동,동대문구,2025,9,0.0,8.987323943661972,18.44788732394366,24.91622587562545,69.75053609721229,25.524001197268326,47.78127233738385,0.0314510364546104,0.0,0.2144388849177984,0.0121515368120085,4.0,458663.7,113.0,73805.13077675698,0.0,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,84,1,가을
1123060000,답십리1동,동대문구,2025,10,0.08,7.922644163150492,16.710267229254573,22.94333333333333,71.35,22.963806110187296,46.3125,0.0,0.0,0.1625,0.0041666666666666,4.0,458663.7,113.0,73805.13077675698,0.0808080808080808,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,79,1,가을
1123060000,답십리1동,동대문구,2025,11,0.28,19.791316526610643,37.83613445378151,9.124107142857142,63.2280577334558,9.124107142857142,48.06547619047619,0.0,0.1428571428571428,0.0476190476190476,0.0089285714285714,4.0,458663.7,113.0,73805.13077675698,0.2828282828282829,0.0476049243772648,0.5555555555555556,0.969529550894622,0.9854042882975976,64,3,가을
